Word,Usage
lunch,7
ate,3
fourcheese,1
pizza,4
doublecheese,1
side,3
cheesy,1
fries,2
extra,6
slice,2
cheesecake,1
lactose,1
intolerant,1
dutch,1
oven,1
making,7
mess,8
microwave,5
heat,7
soup,1
uncovered,1
dish,1
splatter,3
sloppy,1
susans,1
banned,3
belongs,3
precinct,6
nahbanned,1
turns,3
property,1
detective,12
o'shea,1
visit,3
o'shea's,1
widow,2
dead,12
bigtime,3
anyway,14
sign,5
contract,1
exclusive,3
rights,1
bothered,1
awkward,1
rough,4
signed,2
breathe,2
york,2
challenge,1
bust,2
frigging,1
heroes,1
anybody,2
trash,5
flat,3
freak,4
bringing,5
badass,1
entrance,4
we'll,13
prove,7
financial,1
records,4
retirement,1
rent,1
son,11
destitute,1
winkable,1
ugh,19
credit,1
wing,6
slutz,3
healthy,1
eat,3
diet,1
option,2
marine,3
park,5
location,1
blue,2
parfait,1
wings,3
waitress,1
drumstick,1
bucket,3
monthly,1
parking,1
spot,5
parked,1
superexpensive,1
sports,1
sketchy,2
van,14
beaver,2
trap,2
short,2
wrongheaded,1
darkest,2
corpse,2
wash,2
shore,1
lifeless,1
pace,2
smile,2
energize,1
eyes,8
gesticulate,1
describing,4
behavior,3
must,8
camera,4
crew,2
remote,1
king's,1
before,41
lost,9
weight,1
movie,6
tricks,1
deal,13
sleep,5
during,3
divorces,1
van's,1
arocking,1
exwife's,1
alocking,1
catchy,1
hitchcock's,2
i'd,16
imagine,4
he'd,4
hiding,1
horrors,1
male,1
butter,1
gut,1
smoking,2
guilty,6
unlike,2
matter,10
voilà,1
smells,4
shouldn't,10
flourish,1
picture,4
logo,1
stain,1
empty,2
nuhuh,2
necessarily,1
trapped,5
beavers,2
budge,1
drop,7
outsmarted,1
tomatoes,1
tomato,2
random,2
jerk,3
suckle,1
teat,2
human,1
kindness,2
gross,6
hand,1
mannequin's,1
leg,1
warning,1
signs,2
nikolaj,2
asked,6
birth,1
certificate,1
sucker,2
creepy,2
entirely,2
beg,1
turn,19
themselves,3
headed,2
south,3
belt,1
parkway,1
check,11
exit,3
lyft,1
predator,1
loaner,1
respect,5
women,4
tv,2
friendly,1
villains,1
verizon,1
defected,1
sprint,2
angry,3
curious,1
often,1
captains,6
makes,17
unapproved,1
media,1
appearance,1
criticize,1
policies,1
prerogative,1
